image_path,label
C:/image forgery/real\Au_ani_00001.jpg,1
C:/image forgery/real\Au_ani_00002.jpg,1
C:/image forgery/real\Au_ani_00003.jpg,1
C:/image forgery/real\Au_ani_00004.jpg,1
C:/image forgery/real\Au_ani_00005.jpg,1
C:/image forgery/real\Au_ani_00006.jpg,1
C:/image forgery/real\Au_ani_00007.jpg,1
C:/image forgery/real\Au_ani_00008.jpg,1
C:/image forgery/real\Au_ani_00009.jpg,1
C:/image forgery/real\Au_ani_00010.jpg,1
C:/image forgery/real\Au_ani_00011.jpg,1
C:/image forgery/real\Au_ani_00012.jpg,1
C:/image forgery/real\Au_ani_00013.jpg,1
C:/image forgery/real\Au_ani_00014.jpg,1
C:/image forgery/real\Au_ani_00015.jpg,1
C:/image forgery/real\Au_ani_00016.jpg,1
C:/image forgery/real\Au_ani_00017.jpg,1
C:/image forgery/real\Au_ani_00018.jpg,1
C:/image forgery/real\Au_ani_00019.jpg,1
C:/image forgery/real\Au_ani_00020.jpg,1
C:/image forgery/real\Au_ani_00021.jpg,1
C:/image forgery/real\Au_ani_00022.jpg,1
C:/image forgery/real\Au_ani_00023.jpg,1
C:/image forgery/real\Au_ani_00024.jpg,1
C:/image forgery/real\Au_ani_00025.jpg,1
C:/image forgery/real\Au_ani_00026.jpg,1
C:/image forgery/real\Au_ani_00027.jpg,1
C:/image forgery/real\Au_ani_00028.jpg,1
C:/image forgery/real\Au_ani_00029.jpg,1
C:/image forgery/real\Au_ani_00030.jpg,1
C:/image forgery/real\Au_ani_00031.jpg,1
C:/image forgery/real\Au_ani_00032.jpg,1
C:/image forgery/real\Au_ani_00033.jpg,1
C:/image forgery/real\Au_ani_00034.jpg,1
C:/image forgery/real\Au_ani_00035.jpg,1
C:/image forgery/real\Au_ani_00036.jpg,1
C:/image forgery/real\Au_ani_00037.jpg,1
C:/image forgery/real\Au_ani_00038.jpg,1
C:/image forgery/real\Au_ani_00039.jpg,1
C:/image forgery/real\Au_ani_00040.jpg,1
C:/image forgery/real\Au_ani_00041.jpg,1
C:/image forgery/real\Au_ani_00042.jpg,1
C:/image forgery/real\Au_ani_00043.jpg,1
C:/image forgery/real\Au_ani_00044.jpg,1
C:/image forgery/real\Au_ani_00045.jpg,1
C:/image forgery/real\Au_ani_00046.jpg,1
C:/image forgery/real\Au_ani_00047.jpg,1
C:/image forgery/real\Au_ani_00048.jpg,1
C:/image forgery/real\Au_ani_00049.jpg,1
C:/image forgery/real\Au_ani_00050.jpg,1
C:/image forgery/real\Au_ani_00051.jpg,1
C:/image forgery/real\Au_ani_00052.jpg,1
C:/image forgery/real\Au_ani_00053.jpg,1
C:/image forgery/real\Au_ani_00054.jpg,1
C:/image forgery/real\Au_ani_00055.jpg,1
C:/image forgery/real\Au_ani_00056.jpg,1
C:/image forgery/real\Au_ani_00057.jpg,1
C:/image forgery/real\Au_ani_00058.jpg,1
C:/image forgery/real\Au_ani_00059.jpg,1
C:/image forgery/real\Au_ani_00060.jpg,1
C:/image forgery/real\Au_ani_00061.jpg,1
C:/image forgery/real\Au_ani_00062.jpg,1
C:/image forgery/real\Au_ani_00063.jpg,1
C:/image forgery/real\Au_ani_00064.jpg,1
C:/image forgery/real\Au_ani_00065.jpg,1
C:/image forgery/real\Au_ani_00066.jpg,1
C:/image forgery/real\Au_ani_00067.jpg,1
C:/image forgery/real\Au_ani_00068.jpg,1
C:/image forgery/real\Au_ani_00069.jpg,1
C:/image forgery/real\Au_ani_00070.jpg,1
C:/image forgery/real\Au_ani_00071.jpg,1
C:/image forgery/real\Au_ani_00072.jpg,1
C:/image forgery/real\Au_ani_00073.jpg,1
C:/image forgery/real\Au_ani_00074.jpg,1
C:/image forgery/real\Au_ani_00075.jpg,1
C:/image forgery/real\Au_ani_00076.jpg,1
C:/image forgery/real\Au_ani_00077.jpg,1
C:/image forgery/real\Au_ani_00078.jpg,1
C:/image forgery/real\Au_ani_00079.jpg,1
C:/image forgery/real\Au_ani_00080.jpg,1
C:/image forgery/real\Au_ani_00081.jpg,1
C:/image forgery/real\Au_ani_00082.jpg,1
C:/image forgery/real\Au_ani_00083.jpg,1
C:/image forgery/real\Au_ani_00084.jpg,1
C:/image forgery/real\Au_ani_00085.jpg,1
C:/image forgery/real\Au_ani_00086.jpg,1
C:/image forgery/real\Au_ani_00087.jpg,1
C:/image forgery/real\Au_ani_00088.jpg,1
C:/image forgery/real\Au_ani_00089.jpg,1
C:/image forgery/real\Au_ani_00090.jpg,1
C:/image forgery/real\Au_ani_00091.jpg,1
C:/image forgery/real\Au_ani_00092.jpg,1
C:/image forgery/real\Au_ani_00093.jpg,1
C:/image forgery/real\Au_ani_00094.jpg,1
C:/image forgery/real\Au_ani_00095.jpg,1
C:/image forgery/real\Au_ani_00096.jpg,1
C:/image forgery/real\Au_ani_00097.jpg,1
C:/image forgery/real\Au_ani_00098.jpg,1
C:/image forgery/real\Au_ani_00099.jpg,1
C:/image forgery/real\Au_ani_00100.jpg,1
C:/image forgery/real\Au_ani_10001.jpg,1
C:/image forgery/real\Au_ani_10002.jpg,1
C:/image forgery/real\Au_ani_10003.jpg,1
C:/image forgery/real\Au_ani_10004.jpg,1
C:/image forgery/real\Au_ani_10005.jpg,1
C:/image forgery/real\Au_ani_10101.jpg,1
C:/image forgery/real\Au_ani_10102.jpg,1
C:/image forgery/real\Au_ani_10103.jpg,1
C:/image forgery/real\Au_ani_10104.jpg,1
C:/image forgery/real\Au_ani_10105.jpg,1
C:/image forgery/real\Au_ani_10106.jpg,1
C:/image forgery/real\Au_ani_10107.jpg,1
C:/image forgery/real\Au_ani_10108.jpg,1
C:/image forgery/real\Au_ani_10109.jpg,1
C:/image forgery/real\Au_ani_10110.jpg,1
C:/image forgery/real\Au_ani_10111.jpg,1
C:/image forgery/real\Au_ani_10112.jpg,1
C:/image forgery/real\Au_ani_10113.jpg,1
C:/image forgery/real\Au_ani_10114.jpg,1
C:/image forgery/real\Au_ani_10115.jpg,1
C:/image forgery/real\Au_ani_10116.jpg,1
C:/image forgery/real\Au_ani_10117.jpg,1
C:/image forgery/real\Au_ani_10118.jpg,1
C:/image forgery/real\Au_ani_10119.jpg,1
C:/image forgery/real\Au_ani_10120.jpg,1
C:/image forgery/real\Au_ani_10121.jpg,1
C:/image forgery/real\Au_ani_10122.jpg,1
C:/image forgery/real\Au_ani_10123.jpg,1
C:/image forgery/real\Au_ani_10125.jpg,1
C:/image forgery/real\Au_ani_10126.jpg,1
C:/image forgery/real\Au_ani_10127.jpg,1
C:/image forgery/real\Au_ani_10128.jpg,1
C:/image forgery/real\Au_ani_10129.jpg,1
C:/image forgery/real\Au_ani_10130.jpg,1
C:/image forgery/real\Au_ani_10131.jpg,1
C:/image forgery/real\Au_ani_10132.jpg,1
C:/image forgery/real\Au_ani_10133.jpg,1
C:/image forgery/real\Au_ani_10134.jpg,1
C:/image forgery/real\Au_ani_10135.jpg,1
C:/image forgery/real\Au_ani_10136.jpg,1
C:/image forgery/real\Au_ani_10137.jpg,1
C:/image forgery/real\Au_ani_10138.jpg,1
C:/image forgery/real\Au_ani_10139.jpg,1
C:/image forgery/real\Au_ani_10140.jpg,1
C:/image forgery/real\Au_ani_10141.jpg,1
C:/image forgery/real\Au_ani_10142.jpg,1
C:/image forgery/real\Au_ani_10143.jpg,1
C:/image forgery/real\Au_ani_10144.jpg,1
C:/image forgery/real\Au_ani_10145.jpg,1
C:/image forgery/real\Au_ani_10146.jpg,1
C:/image forgery/real\Au_ani_10147.jpg,1
C:/image forgery/real\Au_ani_10148.jpg,1
C:/image forgery/real\Au_ani_10149.jpg,1
C:/image forgery/real\Au_ani_10150.jpg,1
C:/image forgery/real\Au_ani_10151.jpg,1
C:/image forgery/real\Au_ani_10152.jpg,1
C:/image forgery/real\Au_ani_10153.jpg,1
C:/image forgery/real\Au_ani_10154.jpg,1
C:/image forgery/real\Au_ani_10155.jpg,1
C:/image forgery/real\Au_ani_10156.jpg,1
C:/image forgery/real\Au_ani_10157.jpg,1
C:/image forgery/real\Au_ani_10158.jpg,1
C:/image forgery/real\Au_ani_10159.jpg,1
C:/image forgery/real\Au_ani_10160.jpg,1
C:/image forgery/real\Au_ani_10161.jpg,1
C:/image forgery/real\Au_ani_10162.jpg,1
C:/image forgery/real\Au_ani_10163.jpg,1
C:/image forgery/real\Au_ani_10164.jpg,1
C:/image forgery/real\Au_ani_10165.jpg,1
C:/image forgery/real\Au_ani_10166.jpg,1
C:/image forgery/real\Au_ani_10167.jpg,1
C:/image forgery/real\Au_ani_10168.jpg,1
C:/image forgery/real\Au_ani_10169.jpg,1
C:/image forgery/real\Au_ani_10170.jpg,1
C:/image forgery/real\Au_ani_10171.jpg,1
C:/image forgery/real\Au_ani_10172.jpg,1
C:/image forgery/real\Au_ani_10173.jpg,1
C:/image forgery/real\Au_ani_10174.jpg,1
C:/image forgery/real\Au_ani_10175.jpg,1
C:/image forgery/real\Au_ani_10176.jpg,1
C:/image forgery/real\Au_ani_10177.jpg,1
C:/image forgery/real\Au_ani_10178.jpg,1
C:/image forgery/real\Au_ani_10179.jpg,1
C:/image forgery/real\Au_ani_10180.jpg,1
C:/image forgery/real\Au_ani_10181.jpg,1
C:/image forgery/real\Au_ani_10182.jpg,1
C:/image forgery/real\Au_ani_10183.jpg,1
C:/image forgery/real\Au_ani_10184.jpg,1
C:/image forgery/real\Au_ani_10185.jpg,1
C:/image forgery/real\Au_ani_10186.jpg,1
C:/image forgery/real\Au_ani_10187.jpg,1
C:/image forgery/real\Au_ani_10188.jpg,1
C:/image forgery/real\Au_ani_10189.jpg,1
C:/image forgery/real\Au_ani_10190.jpg,1
C:/image forgery/real\Au_ani_10191.jpg,1
C:/image forgery/real\Au_ani_10192.jpg,1
C:/image forgery/real\Au_ani_10193.jpg,1
C:/image forgery/real\Au_ani_10194.jpg,1
C:/image forgery/real\Au_ani_10195.jpg,1
C:/image forgery/real\Au_ani_10196.jpg,1
C:/image forgery/real\Au_ani_10197.jpg,1
C:/image forgery/real\Au_ani_10198.jpg,1
C:/image forgery/real\Au_ani_10199.jpg,1
C:/image forgery/real\Au_ani_10200.jpg,1
C:/image forgery/real\Au_ani_10201.jpg,1
C:/image forgery/real\Au_ani_10202.jpg,1
C:/image forgery/real\Au_ani_10203.jpg,1
C:/image forgery/real\Au_ani_10204.jpg,1
